Age,Weight (kg),Height (m),BMI,Fat_Percentage,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Water_Intake (liters),Workout_Frequency (days/week),Gender,Workout_Type,Experience_Level,Calories_Burned,Cluster,PCA1,PCA2
51,70.5,1.72,23.9,20.4,177,143.0,76,1.1,1.57,5,Male,Strength,Intermediate,466.0,2,1.2859927090462946,-0.5554399228838708
41,71.2,1.64,26.5,19.9,185,159.0,77,1.0,1.61,1,Male,Cardio,Beginner,454.0,2,1.042826305862633,1.636327105418792
28,57.4,1.69,20.1,14.7,195,177.0,69,0.37,1.37,5,Male,HIIT,Advanced,217.0,0,-1.5180379882316626,1.2863122131439133
50,92.0,1.84,27.2,19.8,172,141.0,71,0.7,1.18,2,Male,Cardio,Beginner,399.0,0,-0.42665031078730137,-0.09881725277733555
60,64.4,1.68,22.9,23.7,168,115.0,73,1.31,1.6,6,Female,Yoga,Advanced,303.0,1,1.1620389630287993,-2.827607393129291
36,56.3,1.65,20.7,16.0,187,160.0,74,0.65,1.1,5,Female,Cardio,Advanced,359.0,0,-0.8947451555607473,0.3955371971189993
30,60.2,1.59,23.7,26.4,184,154.0,74,0.7,0.79,3,Female,Cardio,Beginner,272.0,0,-1.5867733009549199,0.5562634726397216
30,66.9,1.7,23.0,24.5,179,167.0,74,0.54,0.87,1,Male,HIIT,Beginner,264.0,0,-1.819163997896629,1.4747631128036949
43,82.2,1.87,23.6,18.9,172,140.0,77,0.72,1.38,4,Male,Cardio,Advanced,391.0,1,-0.09494350724867598,-0.4976923192143065
20,71.3,1.58,28.4,32.2,192,162.0,74,1.02,1.85,2,Female,Cardio,Beginner,482.0,2,1.476298367053327,1.6531674499817848
38,64.5,1.72,21.8,15.4,186,152.0,71,1.02,1.6,4,Male,Strength,Intermediate,416.0,2,0.982426310089558,0.13275613888415702
19,104.8,1.83,31.4,32.3,203,138.0,71,1.3,1.7,6,Male,Yoga,Advanced,684.0,2,2.8880587355246945,-0.028633473947724218
19,48.4,1.56,19.8,19.4,185,157.0,70,0.44,1.02,5,Female,Cardio,Intermediate,162.0,0,-2.1939730463263865,-0.06486965128628308
36,77.8,1.59,30.9,35.9,179,153.0,66,0.74,1.12,4,Female,Cardio,Intermediate,343.0,1,-0.7549989511938324,-0.46970120857559594
50,64.2,1.75,20.9,13.3,171,157.0,73,0.25,0.88,4,Male,HIIT,Intermediate,112.0,0,-2.9653190710340667,-0.15638699152870636
55,61.4,1.57,24.8,32.2,176,131.0,74,1.04,1.24,3,Female,Yoga,Beginner,186.0,1,-0.44162170974518017,-0.8964325680034833
21,71.7,1.77,22.9,23.0,189,162.0,79,0.9,1.21,5,Male,Strength,Advanced,496.0,2,0.4148642965978797,0.9049910569929598
28,56.9,1.56,23.5,18.5,185,161.0,79,1.14,1.94,3,Female,Cardio,Beginner,388.0,2,1.4932652321360969,1.192978354249796
36,87.6,1.77,27.8,17.2,173,161.0,71,0.92,1.56,2,Male,Cardio,Beginner,579.0,2,1.2025589918803565,0.8132235630024889
42,76.5,1.58,30.5,11.2,182,154.0,79,1.07,1.59,2,Male,Cardio,Beginner,515.0,2,1.3973135145449953,1.2155574707019017
60,80.2,1.65,29.3,37.2,166,136.0,70,0.71,1.23,7,Female,Cardio,Advanced,402.0,1,-0.3970550728133874,-2.0606456503251342
47,71.5,1.75,23.3,18.3,171,158.0,82,0.74,1.83,3,Male,HIIT,Beginner,443.0,2,0.7284706096045068,1.0341012566750734
41,60.3,1.54,25.5,33.2,178,149.0,65,0.56,1.42,7,Female,Cardio,Advanced,308.0,1,-0.7622867155204051,-1.280264012608502
20,68.2,1.77,21.8,8.4,201,169.0,72,0.56,1.03,3,Male,Strength,Intermediate,271.0,0,-1.3993870493458158,1.755923506557692
21,54.2,1.61,21.0,32.4,186,173.0,67,0.61,1.29,4,Female,HIIT,Advanced,303.0,0,-0.9572328561113763,0.6853364638864482
24,52.7,1.61,20.4,19.2,185,141.0,68,0.94,1.04,7,Female,Strength,Advanced,358.0,1,-0.28281184822543065,-1.4057823693284386
46,74.4,1.79,23.1,15.7,185,151.0,62,0.73,1.72,6,Male,Cardio,Advanced,448.0,1,0.7027270663654425,-0.6693294112274705
32,75.8,1.72,25.7,8.0,186,180.0,71,0.62,1.56,7,Female,HIIT,Advanced,534.0,2,0.3149078001774953,0.7947543430074995
28,49.7,1.68,17.5,18.2,193,186.0,77,0.51,1.32,3,Male,HIIT,Beginner,222.0,0,-1.3507282338403053,2.5854967186434683
46,93.6,1.95,24.6,34.7,179,166.0,76,0.47,0.5,4,Male,HIIT,Advanced,459.0,0,-1.7851832036651147,0.7943032652654968
53,88.3,1.7,30.6,26.3,171,138.0,71,1.13,1.82,3,Male,Cardio,Intermediate,647.0,2,2.376940713733279,-0.6041246397947695
36,80.9,1.67,29.1,19.3,180,148.0,68,0.88,1.46,4,Female,Cardio,Intermediate,486.0,1,0.6097092943182261,-0.37623667736898014
55,56.5,1.58,22.6,22.7,176,131.0,73,1.09,1.41,6,Female,Yoga,Advanced,280.0,1,0.2945665152248206,-1.7863674453285545
49,55.1,1.68,19.5,27.8,182,145.0,63,1.21,1.59,6,Female,Strength,Advanced,412.0,1,1.2909819773030191,-1.4562966854150317
48,69.7,1.62,26.5,23.6,182,157.0,77,0.94,1.51,5,Female,Cardio,Intermediate,454.0,2,0.6661663432406568,0.25407855040075944
55,41.8,1.55,17.5,25.6,162,142.0,77,0.75,1.35,4,Female,Strength,Intermediate,177.0,1,-1.0463279683008146,-1.1554620200452426
25,96.5,1.82,29.0,25.2,199,188.0,78,0.41,0.79,5,Male,HIIT,Intermediate,417.0,0,-1.625091568104781,2.477745543278315
50,64.8,1.64,24.0,28.3,171,120.0,73,0.85,0.9,4,Female,Yoga,Intermediate,139.0,1,-1.5164526877440616,-2.01584962928866
59,83.0,1.62,31.8,39.7,162,139.0,68,0.83,1.46,4,Female,Cardio,Intermediate,440.0,1,0.2813084102463114,-1.5138846726691046
60,48.2,1.63,18.2,25.8,166,114.0,71,0.72,1.27,3,Male,Yoga,Intermediate,105.0,1,-1.2511084981420109,-2.133585227661736
42,71.2,1.59,28.3,33.1,185,157.0,77,1.23,2.14,2,Female,Cardio,Beginner,549.0,2,2.592553200300527,1.3097364389217523
50,67.8,1.67,24.4,11.1,177,134.0,71,1.13,1.89,3,Male,Strength,Beginner,409.0,2,1.6644177111478398,-0.5139328500948757
56,81.2,1.86,23.5,25.5,168,151.0,79,0.7,1.43,4,Male,HIIT,Intermediate,511.0,2,0.30007817699836653,0.04659776808291198
54,65.0,1.82,19.6,12.2,177,143.0,74,1.62,2.4050000000000002,4,Male,Cardio,Intermediate,740.0,2,4.6630772468163055,-0.33898273490638203
56,86.8,1.79,27.1,29.8,170,150.0,62,0.87,1.04,4,Male,Cardio,Advanced,577.0,1,0.35561833642969354,-1.0155596471231971
53,78.2,1.69,27.4,19.2,167,131.0,82,1.22,2.23,3,Male,Strength,Intermediate,502.0,2,2.654952892101889,-0.5686201505308013
34,78.5,1.58,31.6,32.7,179,135.0,75,1.21,1.88,3,Female,Yoga,Beginner,339.0,2,1.452923749101999,-0.3806920782788377
49,64.2,1.5,28.6,32.0,177,136.0,68,0.87,1.43,3,Female,Strength,Beginner,266.0,1,-0.22908197490035356,-0.7487059879443378
35,62.4,1.66,22.5,20.2,183,133.0,69,1.35,1.66,2,Female,Yoga,Beginner,258.0,2,1.144477900527203,-0.6217393729900126
52,63.0,1.73,21.0,22.4,162,152.0,77,0.51,1.12,5,Male,HIIT,Advanced,289.0,1,-1.4045631645195589,-0.72464359771778
52,50.6,1.61,19.6,16.1,178,139.0,85,0.66,1.04,2,Male,Strength,Beginner,170.0,0,-1.543699427065725,0.6122719711473129
58,101.6,1.83,30.4,29.5,165,162.0,77,0.5,0.96,3,Male,HIIT,Intermediate,464.0,0,-1.0787358568590129,0.4350272597323549
43,60.6,1.67,21.8,14.1,189,169.0,76,0.79,1.36,6,Female,Cardio,Advanced,427.0,0,0.026237533148500105,0.7347906084919946
38,89.6,1.72,30.4,27.5,172,144.0,75,1.09,1.9,5,Male,Cardio,Advanced,778.5,2,2.901601035854066,-0.41709806808164746
25,70.9,1.63,26.8,38.6,189,176.0,78,0.92,1.87,3,Female,HIIT,Beginner,546.0,2,1.4600473089801418,2.18832886667757
45,78.0,1.73,26.1,34.6,172,158.0,76,0.55,1.69,1,Female,HIIT,Beginner,331.0,0,-0.414779449306384,1.1028845502082836
42,71.0,1.73,23.6,25.3,172,149.0,78,0.47,0.99,2,Female,Cardio,Beginner,186.0,0,-2.1392792545003836,0.4034396067009773
40,77.9,1.69,27.3,24.9,177,144.0,79,0.76,0.83,3,Female,Strength,Beginner,299.0,0,-1.2974860645884356,0.1467148103791344
47,78.3,1.78,24.7,18.7,188,146.0,70,1.06,1.95,2,Male,Strength,Beginner,400.0,2,1.5721553619169972,0.6386879513528795
54,57.6,1.57,23.4,29.7,172,112.0,75,0.98,0.84,5,Female,Yoga,Intermediate,154.0,1,-1.232138131345416,-2.475559443265554
24,76.8,1.67,27.4,32.3,185,145.0,77,0.93,1.25,7,Female,Strength,Advanced,433.0,1,0.2654797809912366,-0.6259315582793062
36,63.7,1.62,24.3,27.5,170,139.0,70,0.98,1.52,3,Female,Strength,Intermediate,321.0,1,0.2831736777074288,-1.0526843846017153
49,60.2,1.66,21.8,19.0,162,129.0,69,1.04,1.62,5,Female,Strength,Intermediate,325.0,1,0.595282474212087,-2.29911021267506
53,68.6,1.59,27.1,34.3,168,135.0,77,1.03,1.15,1,Female,Strength,Beginner,319.0,1,-0.18489888221354298,-0.3481666557203547
51,64.4,1.62,24.6,32.3,168,153.0,64,0.7,1.24,4,Female,HIIT,Advanced,409.0,1,-0.4552350706558422,-0.976150482498595
52,76.8,1.7,26.7,12.9,170,111.0,63,1.0,0.8,4,Male,Yoga,Intermediate,249.0,1,-0.7916492514686742,-2.880711547502092
54,62.4,1.64,23.1,28.5,155,135.0,75,0.96,1.58,6,Female,Strength,Advanced,370.0,1,0.4841249618911981,-2.2166891767910335
59,55.7,1.66,20.2,36.9,167,137.0,65,0.9,1.81,5,Female,Cardio,Advanced,394.0,1,0.8489654781016563,-1.8281159077293698
44,92.7,1.72,31.4,31.3,185,162.0,75,1.35,1.79,2,Male,Cardio,Beginner,778.5,2,3.252346509392823,1.5537354779515333
28,73.6,1.55,30.7,43.5,199,187.0,71,0.25,0.98,3,Female,HIIT,Beginner,137.0,0,-2.8108652645769117,2.4976376939316314
42,88.7,1.77,28.2,11.1,165,158.0,82,0.58,1.47,3,Male,HIIT,Beginner,401.0,0,-0.3432533160533562,0.7648281630799545
48,73.9,1.78,23.3,35.7,169,143.0,76,1.04,1.52,4,Female,Cardio,Intermediate,492.0,2,1.0203926753981825,-0.6970613012874022
22,70.3,1.72,23.7,32.6,186,156.0,66,0.99,1.14,7,Male,Cardio,Advanced,591.0,2,0.8881772478671698,-0.5945551833699003
50,87.7,1.71,30.1,19.4,174,137.0,64,0.91,1.1,5,Male,Strength,Intermediate,427.0,1,0.046786643097334456,-1.5801484927957752
41,58.8,1.58,23.5,39.7,171,144.0,69,1.4,2.0,4,Female,Cardio,Intermediate,492.0,2,2.5273849175868413,-1.1144649330128062
58,74.0,1.82,22.4,13.5,180,171.0,74,0.59,1.64,3,Male,HIIT,Intermediate,454.0,0,0.14957866333589903,1.3300436091080923
27,101.3,1.78,31.9,26.6,189,164.0,76,0.88,1.46,1,Male,Cardio,Beginner,673.0,2,1.3669910797443205,2.2346120867263024
56,74.3,1.74,24.6,24.9,169,157.0,75,0.96,1.34,2,Male,Cardio,Beginner,532.0,2,0.7726648488660887,0.5836874188465317
37,95.5,1.74,31.5,22.4,193,132.0,72,0.83,1.07,4,Male,Yoga,Intermediate,328.0,1,-0.43291403885983987,-0.32802173480268154
42,52.5,1.64,19.5,30.9,179,144.0,75,1.2,1.58,4,Female,Cardio,Intermediate,378.0,2,1.0784791107788245,-0.5032086618714873
46,75.7,1.68,26.8,23.6,179,159.0,71,0.67,1.35,4,Female,Cardio,Intermediate,349.0,0,-0.5622564946518938,0.1363988580949835
42,95.4,1.71,32.7,31.1,174,149.0,77,1.02,1.42,1,Male,Cardio,Beginner,588.0,2,1.2768414264230026,0.8719813495816849
56,58.8,1.54,24.9,30.8,160,147.0,65,0.86,1.25,4,Female,Cardio,Intermediate,293.0,1,-0.5560600106600825,-1.6919070843148791
25,83.6,1.87,23.8,24.3,186,170.0,87,1.07,1.82,3,Male,Cardio,Beginner,677.0,2,2.2963146661811313,2.431496084053837
49,58.7,1.7,20.4,41.8,189,157.0,66,0.77,1.78,7,Female,Cardio,Advanced,383.0,1,0.5278453927486052,-0.4373032405388457
59,73.6,1.6,28.9,24.2,172,152.0,76,0.73,1.85,3,Male,Cardio,Beginner,414.0,2,0.6669869952019014,0.5012217306496626
27,59.1,1.64,21.9,29.0,191,161.0,78,1.0,1.39,3,Male,Cardio,Beginner,416.0,2,0.6045985857385846,1.491495204400067
28,74.1,1.74,24.4,17.3,181,143.0,68,0.85,1.15,4,Male,Strength,Intermediate,346.0,1,-0.3047445611414346,-0.6382835047143821
38,50.2,1.58,20.1,22.5,188,180.0,71,0.49,1.22,3,Female,HIIT,Intermediate,218.0,0,-1.6750077707009987,1.5006035274919838
49,84.4,1.66,30.7,29.5,165,138.0,71,0.65,1.37,4,Male,Strength,Intermediate,313.0,1,-0.5792997734107714,-1.205463465431857
59,103.8,1.89,29.2,18.8,156,139.0,65,1.0,1.11,4,Male,Cardio,Intermediate,705.0,1,1.169885218098653,-1.7717791578196074
52,68.0,1.66,24.7,26.0,168,135.0,70,1.16,1.68,6,Female,Strength,Advanced,476.0,1,1.5217313754446677,-1.931914880977139
52,60.4,1.72,20.4,32.7,186,133.0,61,1.06,1.09,4,Female,Yoga,Intermediate,211.0,1,-0.48331806105261177,-1.5679151486521234
36,88.7,1.7,30.6,21.4,196,135.0,81,0.66,0.41,4,Male,Yoga,Intermediate,239.0,0,-2.1313759624775943,0.2982817662335177
45,59.7,1.6,23.4,22.6,174,142.0,76,0.99,1.29,3,Female,Cardio,Intermediate,382.0,1,0.18109407413137996,-0.4235683330826163
27,55.4,1.64,20.6,19.3,184,152.0,78,0.42,0.75,2,Female,Cardio,Beginner,161.0,0,-2.6545625714923324,0.9978659085650208
37,54.2,1.73,18.1,14.8,171,152.0,60,0.91,1.55,5,Male,Cardio,Intermediate,390.0,1,0.5205357869315029,-1.3148313863554968
26,62.8,1.68,22.3,22.7,190,161.0,70,0.98,1.87,3,Female,Cardio,Beginner,432.0,2,1.2433850643446163,1.06117476866801
19,51.6,1.64,19.3,15.8,195,157.0,79,1.2,1.78,4,Male,Strength,Intermediate,396.0,2,1.5807445010856027,1.0430357136626982
54,55.3,1.57,22.4,33.3,176,145.0,87,0.85,1.54,3,Female,Strength,Beginner,213.0,0,-0.36161118732746417,0.5746867998711858
52,85.9,1.76,27.6,24.7,178,151.0,75,0.99,1.64,4,Male,Cardio,Advanced,724.0,2,2.086542000045208,0.289572910195176
39,62.9,1.64,23.4,14.2,179,141.0,77,0.89,1.17,5,Female,Strength,Intermediate,271.0,1,-0.5789929015211731,-0.7113226596158764
18,73.3,1.67,26.2,38.4,199,158.0,71,0.9,1.32,7,Male,Strength,Advanced,494.0,2,0.6650082911111512,0.3212080279773954
21,62.6,1.69,22.1,10.3,188,158.0,66,0.74,1.48,5,Male,Cardio,Intermediate,400.0,1,0.1440890749901448,0.10118313560145689
22,68.8,1.66,25.0,16.4,196,187.0,80,0.52,1.4,2,Female,HIIT,Beginner,296.0,0,-1.0452780585964008,3.156889928381069
48,100.3,1.77,32.1,24.8,171,146.0,61,0.37,0.79,6,Male,Cardio,Advanced,299.0,1,-2.072356634414329,-1.624144998363127
26,61.5,1.62,23.5,18.3,193,123.0,64,1.06,0.98,4,Female,Yoga,Intermediate,221.0,1,-0.539710118497821,-1.483930049702874
28,66.1,1.59,26.3,42.1,191,152.0,60,1.0,1.72,5,Female,Cardio,Advanced,504.0,2,1.3926964052229451,-0.4649192481463838
55,51.2,1.65,18.9,39.1,171,114.0,77,0.97,1.26,4,Female,Yoga,Intermediate,184.0,1,-0.5277334807056044,-1.9808307621035248
55,84.4,1.66,30.6,28.0,176,136.0,70,1.02,1.49,4,Male,Yoga,Intermediate,389.0,1,0.7335282688868989,-1.011591729000927
50,68.9,1.73,23.0,29.4,162,121.0,68,0.96,0.96,5,Female,Yoga,Advanced,251.0,1,-0.8032282990442668,-2.857676567690274
31,84.9,1.72,28.8,32.3,179,175.0,71,0.66,1.19,4,Male,HIIT,Intermediate,601.0,0,0.1449783792636394,1.0605350750658404
42,70.5,1.7,24.3,28.1,177,163.0,68,0.62,1.48,3,Male,HIIT,Beginner,381.0,0,-0.26322365987893165,0.6548384189866359
26,74.1,1.65,27.1,44.0,179,168.0,67,0.71,1.34,3,Female,HIIT,Intermediate,491.0,0,-0.010595562790964946,0.6010135954836302
54,72.2,1.62,27.3,28.3,168,154.0,67,0.58,1.13,5,Female,HIIT,Intermediate,323.0,1,-1.2060993568882217,-0.9874664437575839
21,55.8,1.55,23.1,25.7,190,152.0,59,1.24,2.27,5,Female,Cardio,Advanced,574.0,2,2.9920746263801803,-0.5431719102589367
50,84.9,1.71,28.9,25.6,183,141.0,68,1.11,1.26,5,Male,Strength,Intermediate,585.0,2,1.3211844653027225,-0.7538451655962541
39,58.7,1.64,21.9,34.7,182,148.0,64,0.9,1.87,4,Female,Strength,Intermediate,230.0,1,0.34619741942242904,-0.7152434208727037
50,75.0,1.64,27.8,9.1,181,128.0,71,1.11,1.1,5,Female,Yoga,Advanced,377.0,1,0.25536565663009786,-1.5407360492056232
37,62.0,1.63,23.3,9.8,184,142.0,75,0.99,1.68,3,Male,Strength,Intermediate,363.0,2,0.8650743167960623,0.09690719011043694
24,74.2,1.69,26.1,30.1,187,143.0,63,0.91,1.35,4,Female,Strength,Intermediate,372.0,1,0.1474402707766732,-0.7024657720527093
50,69.8,1.74,23.0,9.5,174,168.0,69,0.63,1.38,5,Male,HIIT,Intermediate,419.0,0,-0.2866630572961822,0.10862121221034768
45,81.2,1.8,25.0,22.3,182,156.0,86,1.1,1.7,3,Male,Cardio,Beginner,627.0,2,2.0329720155266173,1.575691719817546
37,61.1,1.72,20.7,34.0,190,161.0,65,0.76,1.55,4,Female,Cardio,Intermediate,312.0,0,-0.15054123186609575,0.29811012675056464
34,72.3,1.68,25.7,20.2,183,149.0,77,0.77,1.13,3,Female,Strength,Beginner,269.0,0,-0.9196645507427204,0.509289223142451
32,71.3,1.69,25.0,28.3,174,142.0,75,1.44,1.82,3,Male,Strength,Beginner,547.0,2,2.6723202129109804,-0.21015141099971069
38,76.7,1.84,22.7,23.0,169,149.0,77,0.69,1.7,5,Male,Cardio,Intermediate,384.0,1,0.24431249204215955,-0.39361285599079443
29,77.2,1.77,24.6,28.0,185,144.0,73,0.82,1.27,5,Male,Strength,Intermediate,378.0,1,-0.04975720568522971,-0.2933134584935926
30,67.4,1.63,25.3,30.8,170,132.0,65,0.78,1.06,4,Female,Strength,Advanced,317.0,1,-0.800908020923536,-1.8158506745922431
29,76.5,1.85,22.5,14.5,200,164.0,75,0.71,0.89,3,Male,Cardio,Beginner,399.0,0,-0.7980757095682938,1.9142388661786987
18,81.5,1.83,24.3,29.8,199,149.0,75,0.54,1.42,2,Male,Strength,Beginner,247.0,0,-0.8637369284005426,1.6009257795273255
57,56.5,1.64,21.0,25.6,164,154.0,67,0.39,0.81,4,Female,HIIT,Advanced,211.0,0,-2.523818222079628,-1.031779478159583
28,91.8,1.65,33.7,33.8,180,157.0,66,0.89,2.02,3,Male,Cardio,Beginner,575.0,2,1.887680480721239,0.5819004004752159
25,67.4,1.53,28.8,26.5,197,130.0,82,0.98,1.25,2,Female,Yoga,Beginner,170.0,0,-0.5189767843740174,0.6771710815302124
24,72.9,1.68,25.8,16.6,183,131.0,81,1.24,1.4,1,Male,Yoga,Beginner,358.0,2,0.9828241663899338,0.4004280482378069
60,84.9,1.7,29.3,27.9,160,131.0,65,0.97,1.48,5,Female,Strength,Intermediate,458.0,1,0.709490886710805,-2.3677956137081995
38,54.3,1.76,17.5,20.4,176,140.0,66,0.85,2.0,4,Male,Cardio,Advanced,389.0,2,1.1471641412778688,-0.8948873534520901
32,47.8,1.65,17.5,20.2,186,145.0,69,0.96,0.88,3,Male,Strength,Intermediate,302.0,1,-0.635393394560625,-0.24801984169871708
35,70.2,1.74,23.3,21.2,188,132.0,64,0.73,1.0,4,Male,Yoga,Intermediate,196.0,1,-1.254950421421528,-1.0747810090243255
21,59.6,1.75,19.6,21.6,201,188.0,63,0.44,0.96,1,Female,HIIT,Beginner,152.0,0,-2.38375588573427,2.5066027791763172
31,54.5,1.51,23.9,31.5,193,172.0,70,0.35,0.84,2,Female,HIIT,Beginner,108.0,0,-2.8920662679826687,1.7103873059660197
28,68.3,1.63,25.6,23.8,188,151.0,69,0.71,1.19,5,Male,Strength,Intermediate,339.0,0,-0.5587879264662482,-0.10146449170746016
52,90.4,1.79,28.3,27.7,179,164.0,66,0.64,1.26,3,Male,HIIT,Beginner,500.0,0,-0.10875359456365269,0.7375634679723451
20,58.2,1.69,20.5,9.9,189,165.0,75,0.92,1.59,2,Female,Cardio,Beginner,335.0,0,0.2986540337164111,1.5470911179929427
36,93.4,1.88,26.3,27.7,170,158.0,81,0.9,1.72,1,Male,HIIT,Beginner,614.0,2,1.5118145423674878,1.4327886826105392
51,81.4,1.81,24.9,11.6,168,147.0,79,1.11,1.45,2,Male,Cardio,Beginner,577.0,2,1.4569330452559803,0.35095782104241596
53,71.7,1.66,26.1,36.2,166,153.0,70,0.45,1.13,3,Female,HIIT,Intermediate,221.0,0,-1.8822075155443838,-0.5149550385666515
40,74.6,1.81,22.8,11.2,176,115.0,60,1.13,1.45,3,Male,Yoga,Intermediate,277.0,1,0.584100131769893,-2.3350705562480583
27,82.0,1.65,30.1,27.7,182,154.0,79,0.68,1.09,1,Male,Cardio,Beginner,382.0,0,-0.6884480301170677,1.4688595310407928
32,69.1,1.68,24.4,30.8,182,144.0,72,1.15,2.11,3,Male,Strength,Intermediate,451.0,2,2.167144505545527,-0.009209794989217396
27,99.2,1.77,31.5,24.5,193,158.0,70,0.92,1.88,4,Male,Cardio,Advanced,747.0,2,2.4383862528786056,1.0562482800241426
46,50.2,1.52,21.8,30.9,188,180.0,82,0.61,1.5,5,Female,HIIT,Intermediate,298.0,0,-0.6957959080345478,1.7189021149612171
30,77.2,1.67,27.6,18.7,175,149.0,63,0.81,1.6,5,Female,Cardio,Advanced,488.0,1,0.6770109966310842,-1.017446853288592
45,74.0,1.73,24.6,34.5,168,104.5,55,0.81,1.02,3,Female,Yoga,Intermediate,156.0,1,-1.2960737214666336,-3.4254422064287233
46,72.7,1.76,23.6,17.0,171,149.0,61,0.63,1.45,4,Male,Cardio,Advanced,406.0,1,-0.15089475351851464,-0.9924685896099158
58,62.1,1.51,27.2,28.0,173,123.0,77,1.08,1.63,3,Female,Yoga,Beginner,164.0,1,0.17024952331296608,-1.1319055126754753
33,74.9,1.78,23.7,8.0,183,173.0,71,0.51,1.34,3,Male,HIIT,Intermediate,338.0,0,-0.8937961824714884,1.2383936407264844
59,43.6,1.58,17.5,21.6,162,134.0,67,1.1,1.44,1,Female,Strength,Beginner,161.0,1,-0.19341263900669772,-1.3601123445409573
35,59.8,1.85,17.5,21.3,188,177.0,62,0.55,1.18,4,Male,HIIT,Intermediate,296.0,0,-1.1815141333964019,0.7770439928728051
47,79.0,1.63,29.6,48.0,182,177.0,69,0.32,0.99,5,Female,HIIT,Intermediate,256.0,0,-2.245831273732782,0.6801028196953001
46,84.8,1.7,29.5,27.7,176,118.0,67,1.02,1.39,3,Male,Yoga,Beginner,255.0,1,0.16963003173692148,-1.5724626666005441
53,96.0,1.73,32.0,33.0,166,149.0,74,0.78,1.34,4,Male,Cardio,Intermediate,506.0,1,0.31822451552242964,-0.4733597516701646
38,67.8,1.66,24.7,22.5,183,146.0,72,0.92,1.24,3,Male,Strength,Beginner,358.0,0,0.021728243722968464,0.21078969260505984
52,62.9,1.78,19.9,20.2,170,149.0,71,0.77,1.74,1,Male,Cardio,Beginner,322.0,2,0.23814603594805733,0.3232504416059085
33,74.5,1.79,23.2,17.9,183,147.0,70,0.91,1.1,2,Male,Strength,Beginner,402.0,0,-0.05995655927704374,0.38788519018487805
39,65.2,1.62,24.8,20.5,177,158.0,72,0.56,0.84,4,Female,Cardio,Intermediate,280.0,0,-1.8319232975026642,-0.03702374920541862
39,48.0,1.51,21.0,25.4,187,153.0,75,1.06,1.21,3,Female,Strength,Beginner,241.0,0,-0.279892780099623,0.5031804519436128
48,93.1,1.73,31.1,34.5,176,139.0,72,1.17,1.43,3,Male,Strength,Intermediate,646.0,2,1.8855143061193083,-0.404868243009159
44,88.5,1.63,33.3,25.6,185,144.0,75,0.73,1.48,2,Female,Strength,Beginner,330.0,0,-0.22275041260959746,0.6917757006098874
21,71.6,1.64,26.6,25.9,202,157.0,70,0.86,1.64,5,Female,Strength,Intermediate,372.0,2,0.4992116276351851,0.7361931660083226
52,67.6,1.65,24.8,33.2,175,160.0,62,0.73,1.45,7,Female,HIIT,Advanced,489.0,1,0.25317192201082533,-1.083130249646991
50,53.8,1.64,19.9,25.1,170,154.0,66,0.79,1.68,4,Female,HIIT,Intermediate,314.0,1,0.04592986926947889,-0.7742343527529316
22,79.9,1.61,30.7,44.5,199,144.0,68,0.54,0.96,3,Female,Strength,Intermediate,217.0,0,-1.7587516598235544,0.37354758054071013
59,68.1,1.65,25.1,19.7,171,132.0,80,0.91,1.07,6,Female,Strength,Advanced,363.0,1,-0.335019712809177,-1.433820734356382
46,67.7,1.69,23.7,44.7,194,134.0,60,1.01,1.73,7,Female,Yoga,Advanced,350.0,1,0.9674435436148633,-1.6304357277459693
21,70.3,1.62,26.6,20.1,195,161.0,68,0.77,1.69,4,Female,Cardio,Intermediate,425.0,2,0.5217770029012456,0.8270058523120157
39,69.1,1.75,22.6,21.8,186,167.0,68,0.57,1.18,5,Male,Cardio,Advanced,377.0,0,-0.7948536670115636,0.45388137850674287
53,75.7,1.73,25.4,15.3,173,150.0,66,0.96,1.38,6,Male,Cardio,Advanced,602.0,1,1.181829433094592,-1.0785349927462622
30,71.2,1.92,19.3,20.1,186,175.0,74,0.43,0.95,4,Male,HIIT,Advanced,328.0,0,-1.6694239910583812,1.3083260288175969
58,79.9,1.66,28.9,32.7,166,126.0,69,0.81,1.08,3,Female,Strength,Intermediate,266.0,1,-0.913825800778412,-1.801225830729473
35,76.5,1.77,24.4,30.7,186,174.0,73,0.56,1.23,3,Male,HIIT,Beginner,368.0,0,-0.8243259837526159,1.7125266324308834
27,79.8,1.65,29.2,31.9,192,188.0,79,0.85,1.72,2,Female,HIIT,Beginner,580.0,2,1.1649024959866214,3.1044919376129667
33,64.0,1.63,24.0,22.7,193,174.0,82,0.76,1.25,3,Female,Cardio,Intermediate,381.0,0,-0.41641561728325044,2.0920171738704325
40,63.1,1.61,24.3,31.8,182,130.0,79,1.08,0.87,4,Female,Yoga,Intermediate,271.0,1,-0.5799032952668708,-0.8563468164177119
47,58.5,1.7,20.2,30.0,172,156.0,70,0.26,1.28,5,Male,HIIT,Intermediate,163.0,0,-2.1284868833025046,-0.40824094719284665
57,70.8,1.6,27.7,39.6,166,139.0,71,1.26,2.04,4,Female,Cardio,Intermediate,590.0,2,2.645601764116724,-1.1953115827593859
26,50.3,1.53,21.5,25.0,180,139.0,71,0.38,0.89,5,Female,Strength,Intermediate,108.0,0,-2.668735976708975,-0.9461337086896305
